Country Name,Population (2024),Country Numeric
Aruba,107624,533
Afghanistan,42647492,4
Angola,37885849,24
Albania,2714617,8
Andorra,81938,20
United Arab Emirates,10876981,784
Argentina,45696159,32
Armenia,3033500,51
American Samoa,46765,16
Antigua and Barbuda,93772,28
Australia,27204809,36
Austria,9178482,40
Azerbaijan,10202850,31
Burundi,14047786,108
Belgium,11876844,56
Benin,14462724,204
Burkina Faso,23548781,854
Bangladesh,173562364,50
Bulgaria,6444366,100
Bahrain,1588670,48
"Bahamas, The",401283,44
Bosnia and Herzegovina,3164253,70
Belarus,9133712,112
Belize,417072,84
Bermuda,64636,60
Bolivia,12413315,68
Brazil,211998573,76
Barbados,282467,52
Brunei Darussalam,462721,96
Bhutan,791524,64
Botswana,2521139,72
Central African Republic,5330690,140
Canada,41288599,124
Switzerland,9034102,756
Chile,19764771,152
China,1408975000,156
Cote d'Ivoire,31934230,384
Cameroon,29123744,120
"Congo, Dem. Rep.",109276265,180
"Congo, Rep.",6332961,178
Colombia,52886363,170
Comoros,866628,174
Cabo Verde,524877,132
Costa Rica,5129910,188
Cuba,10979783,192
Curacao,155900,531
Cayman Islands,74457,136
Cyprus,1358282,196
Czechia,10882164,203
Germany,83510950,276
Djibouti,1168722,262
Dominica,66205,212
Denmark,5976992,208
Dominican Republic,11427557,214
Algeria,46814308,12
Ecuador,18135478,218
"Egypt, Arab Rep.",116538258,818
Eritrea,3535603,232
Spain,48807137,724
Estonia,1371986,233
Ethiopia,132059767,231
Finland,5637214,246
Fiji,928784,242
France,68516699,250
Faroe Islands,54719,234
"Micronesia, Fed. Sts.",113160,583
Gabon,2538952,266
United Kingdom,69226000,826
Georgia,3673850,268
Ghana,34427414,288
Gibraltar,39329,292
Guinea,14754785,324
"Gambia, The",2759988,270
Guinea-Bissau,2201352,624
Equatorial Guinea,1892516,226
Greece,10388805,300
Grenada,117207,308
Greenland,56836,304
Guatemala,18406359,320
Guam,167777,316
Guyana,831087,328
"Hong Kong SAR, China",7524100,344
Honduras,10825703,340
Croatia,3866300,191
Haiti,11772557,332
Hungary,9562314,348
Indonesia,283487931,360
Isle of Man,84160,833
India,1450935791,356
Ireland,5380257,372
"Iran, Islamic Rep.",91567738,364
Iraq,46042015,368
Iceland,404610,352
Israel,9974400,376
Italy,58986023,380
Jamaica,2839175,388
Jordan,11552876,400
Japan,123975371,392
Kazakhstan,20592571,398
Kenya,56432944,404
Kyrgyz Republic,7224614,417
Cambodia,17638801,116
Kiribati,134518,296
St. Kitts and Nevis,46843,659
"Korea, Rep.",51751065,410
Kuwait,4973861,414
Lao PDR,7769819,418
Lebanon,5805962,422
Liberia,5612817,430
Libya,7381023,434
St. Lucia,179744,662
Liechtenstein,40197,438
Sri Lanka,21916000,144
Lesotho,2337423,426
Lithuania,2888055,440
Luxembourg,677717,442
Latvia,1862441,428
"Macao SAR, China",687000,446
St. Martin (French part),26129,663
Morocco,38081173,504
Monaco,38631,492
Moldova,2389275,498
Madagascar,31964956,450
Maldives,527799,462
Mexico,130861007,484
Marshall Islands,37548,584
North Macedonia,1792179,807
Mali,24478595,466
Malta,574346,470
Myanmar,54500091,104
Montenegro,623831,499
Mongolia,3524788,496
Northern Mariana Islands,44278,580
Mozambique,34631766,508
Mauritania,5169395,478
Mauritius,1259509,480
Malawi,21655286,454
Malaysia,35557673,458
Namibia,3030131,516
New Caledonia,292639,540
Niger,27032412,562
Nigeria,232679478,566
Nicaragua,6916140,558
Netherlands,17994237,528
Norway,5572272,578
Nepal,29651054,524
Nauru,11947,520
New Zealand,5338500,554
Oman,5281538,512
Pakistan,251269164,586
Panama,4515577,591
Peru,34217848,604
Philippines,115843670,608
Palau,17695,585
Papua New Guinea,10576502,598
Poland,36554707,616
Puerto Rico (US),3203295,630
"Korea, Dem. People's Rep.",26498823,408
Portugal,10701636,620
Paraguay,6929153,600
West Bank and Gaza,5289152,275
French Polynesia,281807,258
Qatar,2857822,634
Romania,19069340,642
Russian Federation,143533851,643
Rwanda,14256567,646
Saudi Arabia,35300280,682
Sudan,50448963,729
Senegal,18501984,686
Singapore,6036860,702
Solomon Islands,819198,90
Sierra Leone,8642022,694
El Salvador,6338193,222
San Marino,33977,674
Somalia,19009151,706
Serbia,6587202,688
South Sudan,11943408,728
Sao Tome and Principe,235536,678
Suriname,634431,740
Slovak Republic,5422069,703
Slovenia,2126324,705
Sweden,10569709,752
Eswatini,1242822,748
Sint Maarten (Dutch part),43350,534
Seychelles,121354,690
Syrian Arab Republic,24672760,760
Turks and Caicos Islands,46535,796
Chad,20299123,148
Togo,9515236,768
Thailand,71668011,764
Tajikistan,10590927,762
Turkmenistan,7494498,795
Timor-Leste,1400638,626
Tonga,104175,776
Trinidad and Tobago,1368333,780
Tunisia,12277109,788
Turkiye,85518661,792
Tuvalu,9646,798
Tanzania,68560157,834
Uganda,50015092,800
Ukraine,37860221,804
Uruguay,3386588,858
United States,340110988,840
Uzbekistan,36361859,860
St. Vincent and the Grenadines,100616,670
"Venezuela, RB",28405543,862
British Virgin Islands,39471,92
Virgin Islands (U.S.),104377,850
Viet Nam,100987686,704
Vanuatu,327777,548
Samoa,218019,882
"Yemen, Rep.",40583164,887
South Africa,64007187,710
Zambia,21314956,894
Zimbabwe,16634373,716
